id,artist_id
0YwNdeDFbGP6AGwsQrtzdY,3T0CG1MKkAu9rxA2ezgyLC
3iwsyTZzOWHZbHffBEyi1N,7fTcs8dn9y6XuB2IqZMzBq
2nejvFyJeTDtMRP2nUMt0J,2MRBDr0crHWE5JwPceFncq
6FLwmdmW77N1Pxb1aWsZmO,6uothxMWeLWIhsGeF7cyo4
2rtGaCAeYtmcIvuZsvgTf6,4Z8W4fKeB5YxbusRsdQVPb
19CmuECYssqkPWANF4nLWM,60nua3AsVSfADZtg5Hdz3W
3WibbMr6canxRJXhNtAvLU,1G9G7WwrXka3Z1r7aIDjI7
32h59T8q2SonUPJ006lyXt,1l7ZsJRRS8wlW3WfJfPfNS
20VRVHMwAspwLA207PdKOn,3uklrkyCGBBg5PoFTbEoim
2QhURnm7mQDxBb5jWkbDug,4gzpq5DPGxSnKTe4SA8HAU
7f1Dmr246cJ9uQYdbplTbh,3X458ddYA2YcVWuVIGGOYe
1TwVcKR6JojvPwBGbWZT36,0OUXTnqjvTg4iZ7Lhq6vv7
5egqKwgK5r5rvGD1LrtR7J,6XyY86QOPPrYVGvF9ch6wz
2aGw77pZqli064JiPuXYRi,2jw70GZXlAI8QzWeY2bgRc
35o9a4iAfLl5jRmqMX9c1D,5rSXSAkZ67PYJSvpUpkOr7
4GoBPGSNDWr9Sgi2Sc8xsj,014WIDx7H4BRCHB1faiisK
4bUfMNNmiCmPXVyWzIfKeZ,2gBjLmx6zQnFGQJCAQpRgw
5H3B1WtZYGmyOYOXgQltKU,7dGJo4pcD2V6oG8kP0tJRR
2TTYIwTM2iLC1YOyHuhRMt,26dSoYclwsYLMAKD3tpOr4
0R8P9KfGJCDULmlEoBagcO,4gzpq5DPGxSnKTe4SA8HAU
66BjgQodHebiX5QGpBAjyQ,57ALvbCBaCkNlgTOSiUPdT
2f5N826udWfjT9iomeaBJt,3Ngh2zDBRPEriyxQDAMKd1
0rK4HCKzv2r1IXqKX3DKpq,5rNhVm2CnqiO5Lv4Dt2lck
01YSMsHRtbrQ1emsM203Ao,3PhL2Vdao2v8SS8AptuhAr
3tSmXSxaAnU1EPGKa6NytH,6XyY86QOPPrYVGvF9ch6wz
68uupqD2ijA27hJxtvnsLH,3zzeZVLuOeetfimOd4k8rE
2g2GkH3vZHk4lWzBjgQ6nY,6hnWRPzGGKiapVX1UCdEAC
7CvOnbFdnIoXMQ4eFCo5lB,5wTdspmxzb8V4ZjvDodpBo
0WVTQp3SOCuMr08jh1jweV,6hnWRPzGGKiapVX1UCdEAC
0rOTMSSa6yscfOrGnzfheM,7sVQKNtdP2NylxMgbNOJMM
2EduiM2UNwjCC7PsLxnOCH,26s8LSolLfCIY88ysQbIuT
46n2EGFnPC3tzWCN1Aqe26,6Ff53KvcvAj5U7Z1vojB5o
42Kv1RoTAm09FeytxiuZIB,6Ghvu1VvMGScGpOUJBAHNH
58rdbCe3SBJuJeWEJa8Htm,2M4Yt7oKGoYd0wqU44k4i2
7MiLmLbwNoyf47xQ4TCVYp,3RwQ26hR2tJtA8F9p2n7jG
29b2b96jozyD9GPCkOrVLs,3WrFJ7ztbogyGnTHbHJFl2
1H5tvpoApNDxvxDexoaAUo,67FFKYikvTlvsPNk4NPOYJ
2kRFrWaLWiKq48YYVdGcm8,4Z8W4fKeB5YxbusRsdQVPb
5BAbezIjIvHR4VOMECrIv9,7bzt5lHL6bzLO3c9mkxNMW
3opWtXcWfM3YFzrm0ffSII,3nFB4eMP5gdqee2eQb8nZb
47PiSg7z5qjUyEGKN4I1g7,7FsRH5bw8iWpSbMX1G7xf1
0iV9yfj1knFNOSEiuTHZwl,1l7ZsJRRS8wlW3WfJfPfNS
33kKcOJoyNduHwXhEnga8X,6G7OerKc3eBO9sVkRNopFC
1aC1IBAETh2XYGOE8kCC6t,2RTUTCvo6onsAnheUk3aL9
5kHkaBN8OEQlmXfQkACxSt,4DFhHyjvGYa9wxdHUjtDkc
2KNt0BWMJwB8uEqus75mRB,30MCPVWV1iZrs2gxciRRk4
28upjDakWVnHAgW2anm273,1qyAl8T6GTcaOViaI7fs1j
5susfx6SX1tebTCLSxe74K,7FsRH5bw8iWpSbMX1G7xf1
6HgrJfzfj9WRBABdussy8z,6Ghvu1VvMGScGpOUJBAHNH
4LlNoNZflek4hZyZigCxpW,1XhhO2dTs2fKyhILj0aam6
7neWp4incUBLP1XQTNWmP0,4oVcPiYDvfGxamTzwvnKtp
5y8zb3grlQonjdqd27K39T,19eLuQmk9aCobbVDHc6eek
33Kxt0fCaltxIuIOzM7hfs,014WIDx7H4BRCHB1faiisK
6Zj3YsYfj8YTY9aGMDnpn8,165ZgPlLkK7bf5bDoFc6Sb
5QhBKPqsnX1uY9fZNaAtZg,26dSoYclwsYLMAKD3tpOr4
0mXMr1OVZZKYmOinBaofOp,6EXX0GpVsILp9TGCfu7AVG
